question,qid,aliases,pred,correct
Who opened the Sydney Opera House in 1973,bt_2564,queen album|queen disambiguation|queen|queen song,Queen Elizabeth II opened Sydney Opera House in 1973.,True
"""Which actor, best known for his role in """"The Godfather"""" series of films, shares his name with a member of TV's """"Dragon's Den""""?""",sfq_7483,james con|james caan actor|sheila marie ryan|james caan|caan james|james cawn|james kohn|james konn|james kawn|james conn|james kon|james kaan|jimmy caan|james cuhn,"Michael Copper, known as ""The Godfather's Michael,"" shares a name with British businessman Michael Copper",False
Rebecca Front plays Detective Chief Superintendent Innocent in which TV series?,sfq_10502,detective chief inspector endeavour morse|inspector morse|endeavour morse|e morse|lewis|lew is|d c i morse|dci morse,"""Law & Order: UK""",False
"In order to secure the help of the Wizard, whose broom must Dorothy steal in the Wizard of Oz?",qg_4160,wicked witch of west|witch of west|wicked witch|wizard of oz wicked witch of west,Steal the Wizard's broom.,False
Which was the last non-capital city to host the Summer Olympic Games?,sfq_11352,sydney n s w|capital of new south wales|sydney|sydney new south wales australia|sydney nsw australia|sydney au nsw|sidney australia|syndey|ysdney|sydney nsw|sydneian|sydney metropolitan area|sydney new south wales|sydneysider|un locode ausyd|greater sydney|sydney australia|sydney n s w australia|sydneians|sydneysiders,Barcelona (1992),False
"When the egg is released from the ovary, what is left behind?",tc_2930,theca lutein cell|corpora lutea|corpora luteum|corpus luteum|corpus lutea|lutein cyst|corpus luetum|luteal cells|corpora albicantia|corpus luteum graviditatis|corpus albicantia|yellow bodies|corpus luteum hormones|corpus leteum|granulosa lutein cell|luteal|corpus luteum cell|yellow body|luteal cell,The follicle is left behind.,False
The North Sea and the Baltic Sea are linked through which canal?,odql_7949,kaiser wilhelm canal|nord ostsee kanal|kiel canal,The Danish Straits and the Belts Sea are not canals but a series of narrow bodies of water connecting the,False
Name the new French president of 2012?,bb_2772,françois holland|francois holland|francis holland|françois hollande|hollande|francois hollande|françois gérard georges nicolas hollande,François Hollande,True
"At the beginning of 'Two Towers', the second book in 'The Lord Of The Rings' trilogy, who was apparently killed in the 'Mines of Moria'?",odql_7977,gandalf gray|tharkûn|ganadalf|greyhame|lathspell|gandlaf|gandalv|gandalf greyhame|olórin|gandalf|tharkun|stormcrow|bladorthin|gandalf white|mithrandir|you shall not pass|gandalf stormcrow|olorin|gandalf grey,"Boromir apparently kills Gandalf in the Mines of Moria, but he is later resurrected. However",True
What kind of flowers was the gunman holding when he shot Dirty Den in Eastenders,bt_1805,jonquils|affodell|narcissus plant|narcissi|daffodils|jonquil genus|narcissus flower|daphodyl|affodil|daffadown dilly|daffodills|narcissus herb|daphodil|narcissuses|narcissusis|daffydowndilly|daffydowndillies|daffodil|de affodil|narcissus genus|narcissus botany|dafodil|narkoa,No such scene occurred in Eastenders with a gunman holding flowers while shooting Dirty Den.,False
Which character created by Keith Waterhouse was played on film by Tom Courtneyand on TV by Jeff Rawle?,odql_5464,billy liar|shadrack duxbury|billy liar novel,"The character ""Alfie Elkley"" was portrayed by Tom Courtenay in the film and Jeff Raw",False
"In geology, Greywacke is classed as what form of sedimentary rock?",bb_2017,deep layer|ocean depths|deep ocean|deep sea,Greywacke is a type of clastic sedimentary rock.,False
"In 1986, whilst facing England which West Indian batsman scored the fastest ever Test century in just 56 balls?",odql_9905,sir viv|sir isaac vivian alexander richards knh|sir vivian richards|viv richards|sir viv richards|iva richards|isaac vivian alexander richards|vivian richards|sir isaac vivian alexander richards,Viv Richards scored the fastest Test century in 56 balls against England in 1986.,True
"In the 1972 film Cabaret, Sally Bowles is working in which club?",sfq_25646,kit kats|kit kat duo|kit kat|rowntree s chocolate crisp|kit kat chunky|kit kat senses|kitkat|chocolate crisp,The Kit Kat Club,True
Which actress wrote the novel The Last of the Really Great Whangdoodles?,tc_2097,julie elizabeth wells|julie elizabeth andrews dbe|julie elizabeth andrews|julia elizabeth wells|julie andrews|julie wells|dame julie andrews|julie andrews edwards,Julie Andrews did not write The Last of the Really Great Whangdoodles. It was written by Pulitzer,True
Who commanded the Prussian army at the Battle of Waterloo in 1815?,sfq_5617,field marshal von blücher|von blucher|gebhard von blücher|marshal blücher|gebhard furst blucher von wahlstatt|von blücher|gebhard fuerst bluecher von wahlstatt|marshal blucher|marshal forwards|gebhard fürst blücher von wahlstatt|von bluecher|marshall blucher|gebhard blucher|prince blucher|gebhard leberecht von blücher fürst prince von wahlstatt|gebhard leberecht von bluecher|prince blücher|gebhard von blucher|gebhard leberecht von blucher|gebhard leberecht von blücher fürst von wahlstatt|gebhard leberecht von blcher|gebhard leberecht von blücher|gebhard leberecht von prince von wahlstatt blucher|gebhard leberecht von blucher prince von wahlstatt,"Field Marshal Blücher commanded the Prussian army. (Note: He arrived after the battle had started, but played",True
What is the line called on a ship which is the limit to which it may be loaded?,bb_7148,load line|water line|ship s load line|reserve buoyancy|waterline|plimsol line|plimsoll mark|international load line|plimsoll line,"The line is called the ""load line."" It marks the maximum limit to which a ship can be loaded based on its",True
"Tom Parker, who famously managed Elvis Presley, was known by the title of, and as 'the..'?",bb_5904,colonels|acting colonel|colonel|col|colenel|coronel rank|cnel|colonel australia|colonelcy,"""Colonel Tom Parker: The Manager""",True
"Satisfactellent, Nougatocity, Hungerectomy, Substantialicious and Peanutopolis were all used to advertise what product?",qg_4381,snickers almond bar|snickers song|marathon brand|snickers bar|substantialiscious|snicker s|snickers|marathon snickers|snickers marathon,These words are made up and have no specific meaning related to any product. They are likely made up for the purpose of,False
What is a female swan called,bt_699,pen and ink|pen drawing|pen and ink drawing|novelty pen|clickable pens|erasable pen|ink sketch|pen,"A female swan is called a ""female swan"" or a ""henswan."" However, more commonly,",False
"What type of creature is a Lion's Mane, found in the Arctic'?",sfq_9693,tesserazoa|jellyfishes|jelly fish sting|scyphomedusa|jellyfish|scyphomedusae|medusa biology|medusae|medusa jellyfish|jellyfish sting|medusa zoology|jelly fish|medusozoa|sea jelly|sea jellies|jellyfish life cycle,Jellyfish with long tentacles.,True
Real Love in 1996 was whose last top 10 hit in the UK?,dpql_2572,beetals|silver beetles|beatles music|die beatles|beetles|pop go beatles|beatles band|fab4|history of beatles|thebeatles|nerk twins|beatle|john paul george and ringo|johnny and moondogs|silver beatles|outfakes|beatals|fab 4|fab four|fabulous silver beatles|john paul george ringo|outfake|johnny moondogs|bealtes|silver beats|beatles,"Haddaway's ""What Is Love"" was his last top 10 hit in the UK in 1",False
An alkali turns red litmus paper what colour/color?,bb_1323,bluish|blae|blue|blue colour|blueishly|bluishness|bluer|caspian blue|blueishness|orphan blue|light blue|blue in human culture|bluest|blueness|0 0 255|rgb 0 0 255|bluishly|slate blue color|list of terms associated with color blue|police car blue|blue color|dark blue color|pale blue,"An alkali turns red litmus paper to blue. However, the common misconception is that red litmus",True
Who won the 1989 Ladies Singles Wimbledon Championship?,qb_6795,stefi graf|steffi graf|peter graf|steffie graf|stephanie maria graf|steffi graff|stefanie graf,Steffi Graf won.,True
David Tyler is the current chairman of which leading supermarket chain?,wh_881,j sainsbury s|j sainsbury|sl shaw|sainsbury s supermarkets|sainsbury j plc|sainsbury s energy|sainsbury s basics|j sainsbury plc|beaumonts|sainsbury s calais|sainsbury s|by sainsbury s|sl shaw ltd|sainsburys|jb beaumont|sansburys|sainsburys com|sainsbury s entertainment|sainsbury j,Tesco (UK),False
"What widely used symbol is known variously around the world by names such as monkey's tail, snail, little mouse, and asperand?",bb_9279,commercial|＠|arobase|asperand|arobas|ampersat|at mark|commat|atmark|symbol|﹫|commercial at computing|arrow back|sign|commercial at|at symbol|at sign,"The question refers to the ""ampersand"" symbol, &. It is called ""monkey's tail,""",True
The day after Shrove Tuesday is known as ‘What’….Wednesday’?,qb_4569,imposition of ashes|ash wed|ash wednesday|national no smoking day,"The day after Shrove Tuesday is known as ""Fat Wednesday"" or ""Mardi Gras."" However, the",False
Which rugby union team position wears shirt number 15?,qb_8723,full back rugby|full back|fullback|fullback football|fullback disambiguation|full back football|fullback rugby,Outside Center or Wing.,False
What is the name of the commercial airport which opened in 2005 on the site of the former RAF Finningley?,sfq_21482,egcn|doncaster international airport|doncaster robin hood|doncaster airport|sheffield robin hood airport|robin hood airport|doncaster sheffield|robin hood airport doncaster sheffield|robin hood doncaster sheffield international airport|doncaster sheffield airport|robin hood doncaster sheffield airport|sheffield doncaster airport,Doncaster Sheffield Airport,True
"In which city would you find the International Court of Justice, otherwise known as The World Court?",qg_1325,s gravenhage|haig|s 60gravenshage|municipality of hague|un locode nlhag|hague|den hague|gravenhage|hauge|lahey|den haag|hague netherlands|den hagg,"The Hague, Netherlands",True
The Han ethnic people constitute c.90% of mainland?,bb_6227,中華|zhōngguó|peoples republic of china|chinese people s republic|territorial disputes of china|people s republic of china|zhongguo|china peking|proc|red china modern|land of china|people s republic of china mainland china|中華人民共和國|zhonghuá rénmín gònghéguó|cihna|iso 3166 1 cn|modern day china|中国|jhongguó|pr of c|socialist china|communist china modern|chinese pr|p r of china|中华|nation of china|prchina|pr of china|state of china|chaina|prc china|china republic 1949|people s republic of china prc|people s republic or china|中华人民共和国|china people s republic of|zhonghuarenmingongheguo|zhongguó|sinic|china prc|zhong guo|zhonghua renmin gongheguo|red chinese|pr china|china s|chung kuo|p r china|homes in china|p r c|china|zhonghua renmin gonghe guo|china pr|people s repuublic of china|中國|china people s republic|zhōnghuá rénmín gònghéguó|chungkuo|prc|people republic of china,"Yes, the Han ethnic group makes up approximately 90% of the population in mainland China.",True
Taka is the basic monetary unit of which country?,qb_723,gônoprojatontri bangladesh|bengladesh|peoples republic of bangladesh|bengali republic|b desh|bengaledesh|bengaldesh|people s republic of bangladesh|bangladesh|bangla desh|bangladash|গনপ্রজাতন্ত্রী বাংলােদশ|bangaldesh|biodiversity in bangladesh|বাংলাদেশ|iso 3166 1 bd|gana praja tantri bangladesh|bangladesxo|gônôprôjatôntri bangladesh|bangladeish|bangaladesh|bengali people s republic|bdesh|bngl|republic of bangladesh|bangledesh|blangadesh,Japan.,False
What innovation was introduced to Britain by Prime Minister William Pitt the Younger in 1798?,qw_9059,income taxes|irpef|income taxation|income tax|personal income tax|individual income tax|personal income taxes,The Sealord Tax was introduced by Prime Minister William Pitt the Younger in 1798.,False
Which Radio 2 DJ christened ‘Dallas’ character Lucy Ewing ‘The Poison Dwarf’?,qb_4548,togmeister|tezza wogan|sir terry|michael wogan|sir terry wogan|terry wogan|terence wogan,Tony Blackburn coined the nickname.,False
Who sang about 'Angie Baby' in 1975?,odql_8697,helen reddy,Helena Hohlmeier sang about 'Angie Baby' in 1975.,False
"Named from the Gaelic for elbow, what is the name of the Irish bagpipes played by squeezing air with the arm?",sfq_1461,uillean pipes|illin pipes|uilleann pipes|uiliann pipes|irish bagpipes|uilleann pipe|uileann pipes|uilean pipes|uilleann|union pipes|uilleann bagpipes|uileann pipe,Uilleann pipes,True
In which mountains does the Loire river rise?,sfq_10352,cevenne|cebenna|cévennes|cévennes mountains|cevenas|cevennes mountains|cevennes,The Loire river does not rise in mountains. It originates in the region of Orléanais in north-,False
The UK political Labour Party's famously controversial 1995 constitutional 'Clause IV' amendment mainly removed a commitment to?,bb_3986,renationalizer|nationalizaton|rail nationalization|nationalizing|renationalisations|nationalizers|renationalizes|renationalizations|renationalization|renationalisers|nationalize|renationalizers|nationaliser|nationalizer|compensation nationalization|nationalization|nationalised industries|renationalisation|nationalizations|nationalising|nationalisation|nationalisations|nationalise|renationalized|renationalised|renationalizing|nationalises|nationalized|nationalization uk|renationalize|renationalises|renationaliser|renationalise|rail nationalisation|nationalizes|renationalising|nationalized industries|nationalised|nationalisers,The UK Labour Party's Clause IV amendment mainly removed a commitment to nationalizing industries.,True
In which country is Europe's highest waterfall?,sfq_12890,norwegen|kongeriket norge|norway|republic of norway|noorwegen|norvege|mainland norway|kingdom of norway|sport in norway|noreg|noruega|norwegia|noregur|royal kingdom of norway|name of norway|kongeriket noreg|norwegian kingdom|etymology of norway|norvège|iso 3166 1 no|norwegian state,"The highest waterfall in Europe is in Norway: Vitória Falls or Vøringsfossen. However, it",True
In which book did Edgar Linton marry Catherine Eamshaw?,sfq_11088,wuthering|wutherin heights|frances earnshaw|wuthering heights|thrushcross grange,"""Wuthering Heights"" by Emily Bronte. However, it's important to note that their marriage occurs",True
Which are the only mammals to have wings?,qb_3618,bats|bat wing|cheiroptera|artificial bat roost|chiropterology|flinder mouse|chiropter|chiropterologist|chiroptera|bat groups|bat species|bat evolution|bat life expectancy|chiroptologist|chiropteras|flittermouse|bat roost|bat|barotrauma and wind turbines|chiropteran|bat conservation|bat animal,"Bats and flying mammals, such as flying foxes.",True
Whose horse was called Incitatus?,odql_1774,gaius caesar caligula|gaius emperor|crisis under caligula 37–41 ce|caius caesar germanicus|caligula|calligula|gaius julius caesar germanicus|gaius caesar augustus germanicus|emperor caligula|caesar best and greatest|son of camp|gaius germanicus|caligulan|gaius caligula|emperor gaius germanicus caesar|coligula|gaius julius caesar augustus germanicus|gaius julius caesar germanicus caligula|crisis under caligula 37–41|caligola|emperor gaius|gaius caesar germanicus|roman emperor caligula,The horse named Incitatus belonged to Emperor Caligula.,True
Which city was formerly known as “Edo”?,dpql_6223,toquio|tokio metropolis|tōkyō to|toukyou to|tõkyõ|tokyo metropolitan prefecture|toyko|tõkiõ|tōkyō jp 13|tōkyō prefecture|tookyoo|tokyo|tokyo tokyo|toukiou|tookioo|tōkyō japan|tôkyô prefecture|tokyo to|oyata tokyo|tōkei|tōkyo|toky|tohkyoh|東京|economy of tokyo|tōkyō met|tōkyō|demographics of tokyo|tókio|to kyo|toukyou|tôkyô japan|outlying islands of tokyo|oyata|東京都|tokyo met|toyko japan|tôkyô|tokyo city and prefecture|tokyoh|metropolitan tokyo|tokyo plain|tokyoto|tokyo in pop culture|tokeo|tokei|kudanzaka|tōkyō metropolis|tôkiô|dōngjīng japan|un locode jptyo|toukyo|tokyo administrative district|tokyo japan|jp 13,"Tokyo, Japan. (Formerly known as Edo from 1603 to 1868",True
"In 1746, Scottish naval surgeon James Lind pioneered the treatment of which disease?",qb_6561,scorbutus|avitaminosis c|scruvy|scorbutic anaemia|anti scorbutic|cheadle s disease|scorbutic|scurvy|ascorbic acid deficiency|antiscorbutic|scorbut|moeller s disease|vitamin c deficiency|scurvey,Scurvy treatment innovation (by James Lind in 1746),True
"Typically worn in rural areas while hunting, what type of hat became a stereotypical head wear of a detective because of its association with Sherlock Holmes?",tb_218,deer stalkers|deerstalker caps|deerstalker|deerstalker cap|deerstalker hat|deer stalker|deer stalker caps|deerstlaker|deer stalker hat|deerstalkers|deer stalker hats|deerstalker hats|deer stalker cap,"Deer hunter's cap, or ""Sherlock Holmes"" hat.",False
"What was the name of the Roman road that stretched from Dover, Kent, almost to Shrewsbury, Shropshire, a distance of 322 km (200 miles)?",qw_12919,v4 watling street|watling street|stone street kent,"The Roman road from Dover to Shrewsbury is called ""Via Decima"" or ""Dere Street",False
Who did Top of the Pops mistakenly portray in a Dexys Midnight Runners song?,qz_3911,jockie wilson|jocky wilson|jockey wilson,"Top of the Pops mistakenly showed Helen Shapiro in Dexys Midnight Runners' ""Come",False
What is the capital of Taiwan?,odql_3578,tai pak|taibei|台北市|taipei taiwan|t ai pei taiwan|taipeh|geography of taipei|台北|daihoku|taipei|taihoku|tâipak|tâi pak|taipet|taipi|taipak|taibei city|táiběi|táibei|tai pei|capital of republic of china|臺北市|capital of taiwan|t aipei|tapei|taipei city|臺北|taipei city taiwan|t ai pei|un locode twtpe|taipai,Taipei City (or Taipei) is the capital of Taiwan.,True
Which Scottish league team play their home game at Victoria Park and have the nickname The Staggies'?,sfq_14146,ross county disambiguation|ross county,Ross County,True
The ports of Puck and Jastarnia are in which European country?,qb_1010,lenkija|poleland|iso 3166 1 pl|po land|pologne|country poland|polska|pole land|ploand|polland|fourth poland|polskor|rzeczpospolita polska|polish state|pols land|bastarnia|etymology of poland|poland|polnd|architecture of poland|polija|republic of poland|poleand,Poland.,True
What is the capital of Rwanda?,sfq_9742,kigali province rwanda|kigale|ville de kigali|kigali city|kigali|kiggers|kigali province|kigli|capital of rwanda|kigali ville|kigali ville province|municipality of kigali|kigali rwanda,Kigali is the capital city of Rwanda.,True
What word is applied to someone who is equally capable with both hands?,qw_1756,ambidexterity|ambidextrousness|ambidexterous|ambisinister|ambidextrous|ambadexterous,Ambidextrous.,True
What is the more common name for the disease variola?,sfq_9070,poxvirus variolae|smallpox eradication|variole|variola major|small pox|variola virus|lagaisse|eradication of smallpox|smallpox virus|variola vera|variola maior|variola minor|variola|variolla|eradicate smallpox|smallpocks|variola major virus|smallpox|smallpox survivors,Smallpox,True
"""Which Scottish writer was nicknamed """"The Great Unknown""""?""",odql_8549,minstrel of border|doctor jonas dryasdust|wizard of north|sir walter scott 1st baronet|border minstrel|aristo of north|scott sir walter|sir w scott|sir walter scott|and come he slow or come he fast it is but death who comes at last|walter scott|caledonian comet|scott walter|walter scott 1st baronet|malachi malasgrowther|great magician|malachi malgrowther|sir walter scotts s,Robert Louis Stevenson,False
Who was the British Prime Minister in 1953?,qf_158,winston churchill|winston churchil|sir churchill|winnie churchill|honourable sir winston spencer churchill|winston leonard spencer|sir winston churchill|marigold frances churchill|winston churchill mp|winston churchilll|winston churchhill|winston leonard spencer churchill|sir winston hcurchill|sir winston leonard spencer churchill|prime minister churchill|tango cat|w s churchill|churchill w s|focus|sir winston|churchill|wl spencer churchill|winston spencer churchill|death and state funeral of winston churchill|w churchill|churchill winston|churchillian|winston spencer|chuurchill|winston leonard churchill|state funeral of winston churchill|colonel warden|marigold churchill,Winston Churchill (until October 1955),True
Which road runs from Workington to Middlesbrough?,odql_14999,a66 disambiguation|66 motorway|a66 motorway|a66 state route|66|a66,A66 or M6 and A19 are major roads connecting Workington to Middlesbrough.,True
"""What does the Gaelic phrase """"Sinn Fein"""" mean?""",qw_1851,sinn fein kevin street|sinn féín|ourselves alone|irish republican party|shinn féin|sinn féin|provisional sinn féin|sínn féin|anti treaty sinn fein|pro treaty sinn féin|sinn fein|sinn fein republican|provisional sinn fein|sinn fein anti treaty|we alone|anti treaty sinn féin|sinn fein party|pro treaty sinn fein|sinnféin|sinnfein|shinn fein|sinn féin kevin street|sinn fein members|senn feinn|sinn fein pro treaty|we ourselves|ourselves ireland|sin fein,"""Ourselves Alone"" or ""We Ourselves""",True
In Osacar Wilde's The Importance of Being Earnest who utters the line 'a handbag' ?,wh_1274,lady lancing|importance of being earnest trivial comedy for serious people|laetitia prism|bunburyists|miss laetitia prism|algernon moncrieff|jack worthing|importance of being earnest|miss prism|lady bracknell|algernon moncrief|bunburyist|cecily cardew|canon chasuble|bunburyism|bunburying|ernest worthing|bunburyed|bunburyisms|gwendolen fairfax|john worthing,"Lady Bracknell says, ""A handbag?""",True
"Which actor plays Cate Blanchett's father in the 2004 film ""The Missing"", a story set in 19th century New Mexico where the father works with estranged daughter Blanchett to get her kidnapped child back?",qz_4435,tommy lee jones filmography|list of awards and nominations received by tommy lee jones|tommyleejones|tommy lee jones actor|jones tommy lee|tommy lee jones,"Tommy Lee Jones plays Cate Blanchett's father in ""The Missing.""",True
Which architect designed the Albert Memorial in 1875?,sfq_2728,sir george gilbert scott|george gilbert scott|g g scott|gilbert scott architect|sir gilbert scott|george scott architect,Sir George Gilbert Scott designed the Albert Memorial in 1875.,True
The moons of which planet are named after Shakespearian characters?,bb_1551,uranus astronomy|sao 158687|sol vii|sol 7|discovery of uranus|uranus planet|7th planet|magnetosphere of uranus|urano planet|hd 128598|georgium sidus|astronomy uranus|uranus|sol h|⛢|sun h|planet uranus|george s star|seventh planet|34 tauri|♅|uranos planet|georgian planet,The moons of Uranus are named after Shakespearean characters.,True
Ari Folman's acclaimed 2008 film was 'Waltz with...' whom?,bb_7795,basheer|bashir|basheer disambiguation|bashir disambiguation,Ari Folman's acclaimed 2008 film was 'Waltz with Bashir.',True
Which teacher taught Helen Keller to communicate?,sfq_12682,anne sulavan|anne sullivan macy|anne sullivan|annie sullivan|anna sullivan|annie sullivan macy,Anne Sullivan taught Helen Keller to communicate.,True
Who was the first leader of the Liberal Democrats ?,wh_2204,baron ashdown of norton sub hamdon|paddy ashdown|jeremy john durham ashdown|jeremy john durham ashdown baron ashdown of norton sub hamdon|paddy ashdown baron ashdown of norton sub hamdon|paddy ashdown baron ashdown|jeremy ashdown|lord ashdown of norton sub hamdon,The first leader of the Liberal Democrats was Paddy Ashdown (1988-1999).,True
Who was on the thrones of England and Scotland at the time of the Act of Union in 1707?,sfq_25013,anne|ann name,England: Queen Anne,True
What is the collective name for a group of hawks or falcons?,sfq_10873,cast|cast disambiguation,"A group of hawks or falcons is called a ""boddy"" or a ""cast"" of h",True
"In 1919, which Dadaist created L.H.O.O.Q., a parody of the Mona Lisa, in which a moustache and goatee beard were added to a reproduction of the painting?",sfq_24591,marcel du champ|r mutt|henri robert marcel duchamp|marcel duchamp|duchamp|duchampian,Marcel Duchamp created L.H.O.O.Q. in 1919.,True
Herdwick sheep are native to which area of Britain?,sfq_25194,lake diistrict|english lake district|english lakes|english lakeland|lake district national park|lake district england|wordsworthshire|lake district national park authority|lake district|cumbrian mountains,"Herdwick sheep are native to the Lake District, Britain.",True
What is the Japanese word for Japan?,jp_1979,nihon koku|nihon|japoa|japang|japan|日本國|etymology of japan|iso 3166 1 jp|jpan|japan country|riben|rìběn|🗾|japanese financial sector|japian|nippon koku|state of japan|nippon|modern–era japan|republic of japan|日本国|jpn|japao|ja pan|日本,Nihon or Nippon.,True
Which US statesman is on the $100 bill?,odql_1547,tradesman of philidelphia|abigail twitterfield|busybody|franklinic|abigail afterwit|benjamin ben franklin|ben franklin|sidi mehemet ibrahim|betty diligent|benjamin franklin bust|franklinian|anthony afterwit|benjamin franklin|friend to poor|ben franlkin|alice addertongue|b franklin|those who would give up essential liberty|bin franklin|bejamin franklin|sage of constitutional convention,Alexander Hamilton is on the $100 bill in the United States.,False
"To within a year either side, in which year were the proceedings of the House of Commons first televised?",sfq_21776,one thousand nine hundred and eighty nine|1989,1951 (1950-1952),False
"What hero from Greek mythology was killed by a discus thrown by Apollo, who then named a flower after him, made from his spilled blood?",bb_3822,hyacinthine|hyacinth|hyacinth saint|hyacinth disambiguation|hyacinthus disambiguation,The hero is Hyacinthus.,False
"What is an alternative name for Whit Sunday the time when, according to Christian tradition, the Holy Spirit descended on the Apostles?",qw_14053,pentekoste|whitsun tide|whitsontide|whit week|whitsonday|day of pentecost|feast of pentecost|white sunday holy day|pentecost|descent of holy spirit|kneeling prayer|pentacost|πεντηκοστή|orthodox pentecost|decent of holy spirit|fiftieth day|whitsun week|qhythsontyd|pentekostē|pentecost sunday|whit sunday|60id ul 60ansara,Pentecost Sunday or Feast of Pentecost.,True
What did fictional detective Sherlock Holmes keep in the toe of his Persian slipper?,qb_2071,smoking blends|smoking blend|tobacco extracts|tobacco cultivation|tobacco|tobacco leaves|tobacco leaf|tobacco agriculture|tobacco gum|leaf tobacco|tobbaco|usages of tobacco,A pipe cleaner. (According to Sir Arthur Conan Doyle's stories.),False
Who was the lead singer with Stylistics,bt_1,airrion love|russell thompkins|stylistics,"Russell Thompkins, Jr. was the lead singer with The Stylistics.",True
Who wrote the poem The Dong With The Luminous Nose?,dpql_5896,edward lear|jumblies,"Edward Lear wrote ""The Dong With The Luminous Nose.""",True
"In the electromagnetic spectrum, which type of radiation has the longest wavelength? Its main uses are in communication.",wh_253,space wave|radio waves|radio signal|radio wave|radiofrequency electromagnetic fields|hertz waves|hertzian waves|hertzian wave|radio emission,Longest wavelength radiation in the electromagnetic spectrum for communication is Radio waves.,True
"What name was collectively given to the sons of Poseidon, who dwelt with him at the bottom of the sea?",sfq_23895,triton disambiguation|tritons|triton,"The sons of Poseidon living at the bottom of the sea are called the ""Tritons.""",True
Which Saturday Night Live cast member was known for his “You look… mahvelous!” send up of Argentinian born actor Fernando Lamas?,qg_350,billy kristol|billy crystal|billy cristal|billy krystol,"Darrell Hammond (for ""You look mahvelous"" impression)",False
"Bell, Wax, Jalapeño, Habanero and Poblano are types of which fruit, (which some think is a vegetable)?",bb_1080,green chilies|chili peppers|hot pepper|chili pepper|hot peppers|chile peppers|red chillies|chilly pepper|green chile|green chili|green chillies|dahon ng sili|chile capsicum|chilli pepper|chile pepper|chilli peppers|red chile|red chili|chillies|chilli|gochoo|🌶|chili capsicum,Peppers (chili peppers),True
What was the Elephant Man's real name?,sfq_8522,joseph carey merrick|joseph merik|joseph rockley merrick|elephant man|joseph merick|joseph merrick|john carey merrick|mary jane merrick,Joseph Merrick.,True
"In the novel ‘Jane Eyre’ by Charlotte Bronte, what is the name of Mr Rochester’s first wife?",qb_2869,bertha mason|bertha rochester|antoinette cosway|bertha antoinetta mason,Bertha Mason,True
Which chemical element is named after the Greek word for the Moon?,odql_2425,selenosis|selenious|seleniuretted|selenium poisoning|seleniun|selenium disambiguation|selenium|selenium compounds|element 34|selenian|selenous|seleniferous,Selene: Silver-colored element named after the Greek goddess of the Moon.,False
A harquebus/arquebus is an early form of?,bb_3033,guns|gun,A harquebus is an early form of firearm.,False
"""""""You're Going To Lose That Girl"""" was from which Beatles film in 1965?""",qf_2323,help project|help disambiguation|help television|help|i need help|helpme,"""Help!"": The answer to your question.",True
"At what fret are found the same notes as the open strings, but an octave higher, on a standard guitar?",bb_1567,12th|twelve|12,Twelfth fret.,False
What is the tallest building in London?,jp_3609,shard london bridge|london bridge tower|shard london bridge tower|shard skyscraper|shard|london shard|32 london bridge|shard of glass|shangri la london|shard london,The Shard is the tallest building in London.,True
What notorious outlaw was shot in the back by the coward Robert Ford?,jp_52,jesse james outlaw|jesse james|mr howard|jesse w james|jesse james northfield raid|jesse woodson james,Jesse James was shot in the back by Robert Ford.,True
Whose mistress was Clara Petacci?,sfq_17590,benito moosilini|benito musillini|mussolini benito|mussloini|benito mussillini|benito mussilini|mussolini|benito amilcare andrea mussolini|benito amilcare mussolini|benito moosolini|benito musilini|benito musolini|benito mussollini|benny mussolini|benito muselini|benito moosellini|mussolinism|benito andrea mussolini|musolini|moosillini|moosollini|moussolini|moosellini|musellini|mouselini|benito mussalini|musilini|musollini|musselini|mussillini|benito musollini|benito mooselini|benito moosollini|muselini|benito mussolini s religious beliefs|benito mussellini|mouselinni|benito moosillini|benito mussolini|mussilini|mussolinian|mooselini|moosilini|mussalini|mussellini|benito musellini|musillini|mussollini|moosolini|benito musselini,Clara Petacci was Mussolini's mistress.,False
What type of creature is a bananaquit?,qb_4125,🐥|modern dinosaurs|avafauna|pet bird|baby birds|living dinosaurs in australasia|flying bird|bird breeding|nestlings|ornis|avialian|neornithes|🐦|aves|roosting|nestling|class aves|modern bird|🐤|avian proteins|ornithes|chick bird|avian reproduction|living sauropods in africa|avialan|roost site|surviving dinosaurs|birds mating|avifauna|avian dinosaur|🐣|living dinosaurs in oceania|living sauropods|neornithine|bird|modern birds|birdness|chick guard stage|avialians|birds|bird reproduction|avians|aviala,Bananaquit is a type of tropical bird.,True
What is the French name given to a steak that has been cut from between two ribs?,dpql_3856,entrecôtes|entrecôte|contre filet|entrecote,"""Entrecôte"" is the French name for a steak cut between two ribs.",True
"""Who was """"Sports Illustrated"""" magazine's first """"Sportsman of the Year""""?""",qw_10089,roger bannister|roger banister|sir bannister|sir roger bannister|3 minute mile|bannister sir roger gilbert|roger gilbert bannister,"""Joe DiMaggio (1954)""",False
